---,RecipeName,ShortDesc,LongDesc,RecipeType,TimeToCraft,Tier,CraftXP,CraftingStations,RequiredFuel,Icon,BuildingModule,DestroyStationOnComplete,Ingredient1ID,Ingredient1Quantity,Ingredient2ID,Ingredient2Quantity,Ingredient3ID,Ingredient3Quantity,Ingredient4ID,Ingredient4Quantity,Result1ID,Result1Quantity,Result2ID,Result2Quantity,ThrallRecipeFeatRequirement,IsThrallMachineRecipe,IsRecipeEnabled
13601,"NSLOCTEXT("""", ""565CA7524832145A8665B0A86FA42467"", ""Arena Ritual Offering"")","NSLOCTEXT("""", ""1CE03D294B0A0283C36B2DA4298DF470"", ""An offering to the bloody spectacle of battle"")","NSLOCTEXT("""", ""E6912BC646A6EF5D124559916F2742FF"", ""Thousands of years past, when the Giant-kings ruled the land and the arena was active, there was a human gladiator named Tyros.\nTyros was a fighter such as the world had never seen - legend had it that he was a descendant of the legendary Kull of Atlantis.\nOne of the many names that were ascribed to Tyros during his gladiatorial career was that of Dragonslayer. It was said that the appearance of Tyros in the arena was enough to drive the beasts wild with rage. This offering, however, was the more likely cause. before every battle it was burned on the sacrifice altar and the smoke from the offering was said to drive any within the arena into a mighty frenzy - perhaps even reaching across the boundary between life and death."")","Consumable","300.000000","4","6","89001","0","/Game/UI/Textures/Icons/icon_arena_ritual_offering.icon_arena_ritual_offering","None","False","53202","1","13598","1","0","0","0","0","13601","1","0","0","0","False","True"
14001,"NSLOCTEXT("""", ""F34F58EE4B2271C352A095B5BE547E6C"", ""Aloe Extract"")","NSLOCTEXT("""", ""31AB48F949463687B8D22FB7F140805D"", ""Extract of the aloe plant"")","NSLOCTEXT("""", ""94D71F1D49EA409430E36F9455310870"", ""Stygian traditions of healing hold that the aloe plant contains many desirable properties. In Luxur, the aloe is harvested for use in the temples of Derkheto to cleanse blemishes from the skin of the priestesses. It is often used to sooth oozing wounds and those who ingest it claim that they feel a burst of wellbeing. Whether these effects are of the body or the mind is irrelevant - ingesting aloe extract seems to give the imbiber a regenerative health effect."")","Consumable","60.000000","2","11","89103","0","/Game/UI/Textures/Icons/icon_aloe_extract.icon_aloe_extract","None","False","14001","10","0","0","0","0","0","0","53001","1","0","0","0","False","True"
14101,"NSLOCTEXT("""", ""4387472948894D9BCCCAF3A4BBA72CCB"", ""Violet Cureall"")","NSLOCTEXT("""", ""357A3FEA40FD5A829B399DB11281C7CD"", ""A brilliant purple potion that cures everything"")","NSLOCTEXT("""", ""9B764B4F4979889B9C8FF3AFE75B29F8"", ""Extracted from the venom of various poisonous snakes, this violet potion seems to purge the system of all natural negative effects upon use. Commonly used by street performers in Vendhya to shrug off the effects of cobra bites, more fools have died trying to harvest the ingredients for the cure-all than would have died if the cure-all did not exist at all.\n"")","Consumable","60.000000","2","11","89103","0","/Game/UI/Textures/Icons/icon_violet_cureall.icon_violet_cureall","None","False","14101","10","0","0","0","0","0","0","53011","1","0","0","0","False","True"
14102,"NSLOCTEXT("""", ""88ADB88D41B3F5D294AE7981D8F44784"", ""Yellow Lotus Potion"")","NSLOCTEXT("""", ""683C88BC44843AA2ACB51EBA622F640A"", ""A potion that causes hallucinations and visions"")","NSLOCTEXT("""", ""BE6A84F34C07C425442FFCBAB88BD218"", ""The yellow lotus is used by sorcerers to provide visions and trances, with a strong hallucinogenic effect. It is said that those who survive the visions are given a deeper insight into the world, able to communicate with the inner world in a way that rewrites their very physique. In reality, the effect of the potion blanks the mind, freeing one to focus on a new set of skills at the cost of forgetting all previous abilities and skills."")","Consumable","120.000000","3","11","89103","0","/Game/UI/Textures/Icons/icon_yellow_lotus_potion.icon_yellow_lotus_potion","None","False","14151","10","0","0","0","0","0","0","53101","1","0","0","0","False","True"
14151,"NSLOCTEXT("""", ""566625B2441FB70C3236A88FA1098A9C"", ""Reaper Poison"")","NSLOCTEXT("""", ""2531902C4A2CB3A2854AF897C5557D30"", ""A poison that can be applied to daggers"")","NSLOCTEXT("""", ""E0BC452A4F1C49DE28A181BF692A5CEC"", ""The toxin gland of the Sand Reapers is difficult to obtain due to the ferocious nature of the creatures. When properly prepared, it becomes a poison that can be applied to certain weapons, such as daggers, and then used to debilitate foes. In Vendhya, assassins often use poison to kill their targets - the current king has weathered no less than five attempts on his life thus far, though the five skulls bleaching on the Tower of the Kites are evidence of their failure."")","Consumable","120.000000","3","2","89103","0","/Game/UI/Textures/Icons/icon_locust_poisen.icon_locust_poisen","None","False","14102","1","0","0","0","0","0","0","53201","1","0","0","0","False","True"
14173,"NSLOCTEXT("""", ""3E48ABEB44A8D147890AA49FC988BA56"", ""Steelfire"")","NSLOCTEXT("""", ""5D5F68F043B095BF2E474783DBA2B0DF"", ""A volatile mix of tar and brimstone"")","NSLOCTEXT("""", ""675155ED47BDC308C64F688F688A22F0"", ""An unfortunate smith in Khoraja found himself homeless when his premises burned to the ground. Unable to explain the fire or its root cause, he nevertheless noticed that the steel he had been working on had survived the fire intact and was hardened beyond any metal that he had worked with before.\nBeing a cautious man, he experimented with different variations of the equipment in his newly rebuilt smithy until he reached the conclusion that tar from his poorly sealed roof had dripped into his bloomery and tainted the brimstone that he was using as a catalyst.\nHe gave his new catalyst the fanciful name of Steelfire and made a great deal of money before other smiths were able to replicate his results."")","Material","40.000000","3","64","89103","0","/Game/UI/Textures/Icons/icon_ingredient_steelfire.icon_ingredient_steelfire","None","False","14172","2","14171","1","0","0","0","0","14173","2","0","0","0","False","True"
14174,"NSLOCTEXT("""", ""5B89F0B4404D4F24BA5A27ABF50B7477"", ""Twine"")","NSLOCTEXT("""", ""DE337B6E474AF2C2E75BF3B4A9956925"", ""A small length of twine"")","NSLOCTEXT("""", ""2BA70869443EB535FA450C9F1F1D8E02"", ""Created by twisting lengths of fiber together to create a sturdy length of string, twine is used for binding the most primitive weapons and and items together.\nThe advantage of twine is that it is easily created from scavenged ingredients, such as plant fiber, but it\'s tendency to unravel at unfortunate times makes anything crafted with it inherently fragile."")","Material","2.000000","1","4","0","0","/Game/UI/Textures/Icons/icon_ingredient_rope.icon_ingredient_rope","None","False","12001","3","0","0","0","0","0","0","14174","1","0","0","0","False","True"
14183,"NSLOCTEXT("""", ""94241F134A63625BD34A9FA514927061"", ""Dragonpowder"")","NSLOCTEXT("""", ""FEB69E684CA0DFE5C2AA1BAE97391F7D"", ""A volatile powder created by mashing various alchemical components"")","NSLOCTEXT("""", ""9E22B515467C5FC1EC6E699D971FAB7F"", ""Alchemists in the west first discovered this wondrous powder through a crumbling manuscript that came with a caravan from Khitai. \nThrough much experimentation and loss of limb and life, they eventually stablized the formula with localized ingredients. Combined with other ingredients, Dragonpowder becomes a potent explosive - though many see it as a form of sorcery and refuse to use it in battle.\n"")","Material","120.000000","3","3555","89103","0","/Game/UI/Textures/Icons/icon_dragonpowder.icon_dragonpowder","None","False","14182","2","14171","10","11051","50","14173","100","14183","1","0","0","0","False","True"
16001,"NSLOCTEXT("""", ""A6FDC531413A1AF7F09744B12E076D39"", ""Stone Consolidant"")","NSLOCTEXT("""", ""6A32F1194F84C5D808BD7BB44A7E3B27"", ""A mixture for hardening stone pieces"")","NSLOCTEXT("""", ""31AA91BD48CC41E8D08A89B3193757A8"", ""The Exiled Lands stand as a testament to the efficacy of weather at destroying the works of man. When the wind howls across the landscape and the sand scours everything in its path, there are few buildings that survive for very long.\nHowever, the supernaturally large insects of the Exiled Lands have developed a natural secretion that helps to protect them against the environment. \nIchor from these creatures, when soaked into twine and bound to a stone surface, can be placed into a furnace and hardened into bricks that provide excellent protection against the rigors of the Exiled Lands."")","Material","20.000000","2","49","89103","0","/Game/UI/Textures/Icons/icon_ingredient_building_binding.icon_ingredient_building_binding","None","False","12514","2","14174","5","0","0","0","0","16001","5","0","0","0","False","True"
16002,"NSLOCTEXT("""", ""9FF146734A1D3DF50DF3E5BF06566A6E"", ""Iron Reinforcement"")","NSLOCTEXT("""", ""1850B61947E77C6E2864BBB954699D58"", ""An iron frame used to reinforce stone walls."")","NSLOCTEXT("""", ""23D5E551454FF241A6E349B8B5C1BC9B"", ""The weakness of stone lies in the spaces between the bricks themselves and the materials that bind them together. This reinforcement, crafted of iron, helps to create a solid frame for the stones.\n"")","Material","120.000000","2","31","89301","0","/Game/UI/Textures/Icons/icon_ingredient_iron_reinforcement.icon_ingredient_iron_reinforcement","None","False","11501","2","0","0","0","0","0","0","16002","1","0","0","0","False","True"
16004,"NSLOCTEXT("""", ""83A64CE241AB57FCDBE9F0B2F863EDF5"", ""Steel Reinforcement"")","NSLOCTEXT("""", ""CBC344C34D66B71F372B18A9CE1A4BE3"", ""A steel frame used to reinforce stonebrick walls."")","NSLOCTEXT("""", ""0E4B20A9483CB85606C1B6A5DB7A63AE"", ""The weakness of stone lies in the spaces between the bricks themselves and the materials that bind them together. This reinforcement, crafted of steel, helps to create a solid frame for the stones."")","Material","240.000000","3","960","89301","0","/Game/UI/Textures/Icons/icon_ingredient_steel_reinforcement.icon_ingredient_steel_reinforcement","None","False","11502","2","0","0","0","0","0","0","16003","1","0","0","0","False","True"
16005,"NSLOCTEXT("""", ""D1F8E18D42DCCEA98C066FB071D41244"", ""Iron Bar"")","NSLOCTEXT("""", ""19492CB046C59E928D0D64A7C99654DB"", ""Basic iron ingot for crude metalworking"")","NSLOCTEXT("""", ""E92B3D8A4A351AC5F6EE5FA48B1F20E6"", ""The ability to work iron is a step along the road from savagery to civilization. The streets of the great cities of the world resound with the ring of hammer on anvil a song to the march of progress.\nIron weapons and armor offer superior protection, but the additional weight means carrying less supplies.\nIron can be treated with Steelfire in a Furnace to produce steel."")","Material","60.000000","2","0","89101","0","/Game/UI/Textures/Icons/icon_iron_bar.icon_iron_bar","None","False","16002","1","0","0","0","0","0","0","11501","1","0","0","0","False","True"
16011,"NSLOCTEXT("""", ""7792934A481549486163B0927135FD1A"", ""Brick"")","NSLOCTEXT("""", ""5F60807741870E21D1FC25B3C2307CA4"", ""Shaped stones for construction"")","NSLOCTEXT("""", ""2249CABB436FA4E11CCEBDBD4B454587"", ""Loose fitting stones are a poor defense against the elements and the creatures of the Exiled Lands. Bricks, cut from sections of sandstone, provide more strength to structures and can be butressed with iron and steel to create sturdy walls and strong defenses.\n\nThese bricks are shaped to fit, but have not undergone any more specific treatment."")","Material","20.000000","2","22","89101","0","/Game/UI/Textures/Icons/icon_ingredient_brick.icon_ingredient_brick","None","False","10001","10","0","0","0","0","0","0","16011","1","0","0","0","False","True"
16012,"NSLOCTEXT("""", ""A1409C924AAEDD8FC422E2B0B41E9125"", ""Hardened Brick"")","NSLOCTEXT("""", ""C426C90E4AEBFF1A1026E0B137CE5CB6"", ""Shaped, furnace-hardened stones for construction"")","NSLOCTEXT("""", ""80131DE24377E74219B0578D8D9313AE"", ""Loose fitting stones are a poor defense against the elements and the creatures of the Exiled Lands. Bricks, cut from sections of sandstone, provide more strength to structures and can be butressed with iron and steel to create sturdy walls and strong defenses.\n\nThese bricks are shaped to fit and have also been treated with a consolidant and steel reinforcement, making anything constructed of them almost impregnable."")","Material","60.000000","2","157","89101","0","/Game/UI/Textures/Icons/icon_ingredient_hardenedBrick.icon_ingredient_hardenedBrick","None","False","16011","1","16001","1","0","0","0","0","16012","1","0","0","0","False","True"
16021,"NSLOCTEXT("""", ""960A88974428B43610E4AAA5D682C668"", ""Shaped Wood"")","NSLOCTEXT("""", ""B6F536B446AA9B5D5FB5E09FA7A4CF82"", ""Shaped wood for construction"")","NSLOCTEXT("""", ""431B5AFE4602EFF57AC15FA0BC5E124F"", ""It is possible to create basic weapons and items from branches collected from the ground, but any flaws in the wood quickly become apparent and such items break quickly.\nShaped wood is harvested wood that has been shaped by the carpenters hand to avoid structural weakness and provide additional resilience."")","Material","20.000000","2","22","89401","0","/Game/UI/Textures/Icons/icon_ingredient_plank.icon_ingredient_plank","None","False","10011","10","0","0","0","0","0","0","16021","1","0","0","0","False","True"
14601,"NSLOCTEXT("""", ""2B26B4A2406D5A9FCA52E7993DAE9AEA"", ""Glass Flask Mold"")","NSLOCTEXT("""", ""21E8F0604902EF1C14FACA9DD03F3372"", ""A mold used for creating flasks"")","NSLOCTEXT("""", ""A9653F8E46C3C195A12CA881E9AA1EFC"", ""Due to their need for somewhere to store volatile concoctions alchemists are usually proficient in the art of glass creation.\nIt also ensures that if somebody dies due to a flaw in their glasswork releasing a noxious poison into their workshop, they only have themselves to blame."")","Weapon","60.000000","2","116","89301","0","/Game/UI/Textures/Icons/icon_round_bottomed_mould.icon_round_bottomed_mould","None","False","11501","15","0","0","0","0","0","0","14601","1","0","0","0","False","True"
14200,"NSLOCTEXT("""", ""651689674CFE0D7C675848BCE0625E3B"", ""Glass Flask"")","NSLOCTEXT("""", ""82FFDFF141BD33B567906EB1417C29BE"", ""A flask for storing liquids"")","NSLOCTEXT("""", ""BCE136A44AC3548D7A27A4831BFB8E95"", ""Glass is a fragile substance most often used by nobles and rich merchants for mirrors and windows. Alchemists also prize it for its ability to store volatile concoctions and their ability to observe reactions within the glass as they experiment. Experienced alchemists have hundreds of such flasks, filled with exotic materials from across the world. Less experienced alchemists are probably dead because they stored their concoctions in a less adequate container."")","Weapon","10.000000","2","145","89101","0","/Game/UI/Textures/Icons/icon_round_bottomed_flask.icon_round_bottomed_flask","None","False","11551","3","14601","1","0","0","0","0","14200","1","14601","1","0","False","True"
17001,"NSLOCTEXT("""", ""9ACCB05B4E52B1F5DA5351A5EE7FE113"", ""Dark Dye Colorant"")","NSLOCTEXT("""", ""B7BC05B84CCCBFD70420DB9540AA2474"", ""A darkening agent for dyes"")","NSLOCTEXT("""", ""4E63D1FA4DC4C40A4D54D2A0A14A2503"", ""When this dark substance is added to a dye, it darkens it to produce a shade that is darker than the original dye, without changing the color."")","Material","20.000000","2","48","89103","0","/Game/UI/Textures/Icons/icon_dark_dye_pigment.icon_dark_dye_pigment","None","False","14201","1","14172","3","0","0","0","0","17001","1","0","0","0","False","True"
17002,"NSLOCTEXT("""", ""4CC6D5504053320DB2665F9C3FB68543"", ""Light Dye Colorant"")","NSLOCTEXT("""", ""D3F4DFCF409E28393FD528A6F87A941A"", ""A lightening agent for dyes"")","NSLOCTEXT("""", ""78D418814849F17F071CB0969D7BC8E2"", ""When this light substance is added to a dye, it lightens it to produce a shade that is darker than the original dye, without changing the color."")","Material","20.000000","1","7","89103","0","/Game/UI/Textures/Icons/icon_light_dye_pigment.icon_light_dye_pigment","None","False","14201","1","10021","5","0","0","0","0","17002","1","0","0","0","False","True"
17010,"NSLOCTEXT("""", ""D17F90474451EFEF666BD9B8A1616E7F"", ""Brown Dye"")","NSLOCTEXT("""", ""8974A502410F572C7AE557AE1AD50994"", ""A flask of brown dye"")","NSLOCTEXT("""", ""8FD3CB2544883F9F963B06ABD5A041D7"", ""This dye can be applied to textiles in order to color them. Different types of material will be affected differently by the dye, so the coloring of leather will appear differently to metals."")","Material","20.000000","1","7","89103","0","/Game/UI/Textures/Icons/icon_dying_vial_brown_dye.icon_dying_vial_brown_dye","None","False","14201","1","13015","5","0","0","0","0","17010","1","0","0","0","False","True"
17011,"NSLOCTEXT("""", ""69C637C24EDD205FE56FECACD71689DE"", ""Light Brown Dye"")","NSLOCTEXT("""", ""E85FA93244047E5DCD56EB9A38E414C6"", ""A flask of light brown dye"")","NSLOCTEXT("""", ""6285471F4E84C6AFCCD251A67C902118"", ""This dye can be applied to textiles in order to color them. Different types of material will be affected differently by the dye, so the coloring of leather will appear differently to metals."")","Material","20.000000","1","16","89103","0","/Game/UI/Textures/Icons/icon_dying_vial_light_brown_dye.icon_dying_vial_light_brown_dye","None","False","17010","1","17002","1","0","0","0","0","17011","1","14200","1","0","False","True"
17012,"NSLOCTEXT("""", ""5507A16E4311B990E6C3ABBDB0D3DEB6"", ""Dark Brown Dye"")","NSLOCTEXT("""", ""BBD307E64E53EBAA55AFC7AF3C673B8E"", ""A flask of dark brown dye "")","NSLOCTEXT("""", ""E36AA7544939E9C233B7B7A01A45F1CB"", ""This dye can be applied to textiles in order to color them. Different types of material will be affected differently by the dye, so the coloring of leather will appear differently to metals."")","Material","20.000000","1","61","89103","0","/Game/UI/Textures/Icons/icon_dying_vial_dark_brown_dye.icon_dying_vial_dark_brown_dye","None","False","17010","1","17001","1","0","0","0","0","17012","1","14200","1","0","False","True"
17020,"NSLOCTEXT("""", ""5F2DBF944505D64D8BC38CB751E2A954"", ""Grey Dye"")","NSLOCTEXT("""", ""AE3F93B747716C8448E500B2AA2BBC35"", ""A flask of gray dye "")","NSLOCTEXT("""", ""173011D34F560D8D7B738E89568BD59C"", ""This dye can be applied to textiles in order to color them. Different types of material will be affected differently by the dye, so the coloring of leather will appear differently to metals."")","Material","20.000000","1","3","89103","0","/Game/UI/Textures/Icons/icon_dying_vial_grey_dye.icon_dying_vial_grey_dye","None","False","14201","1","14190","1","0","0","0","0","17020","1","0","0","0","False","True"
17021,"NSLOCTEXT("""", ""AB6FCAB94231D73B58B616BD104DFC1D"", ""Light Grey Dye"")","NSLOCTEXT("""", ""84654BC24E1BF629F83B7696744D4473"", ""A flask of light gray dye "")","NSLOCTEXT("""", ""5CD0B37F47E0021F316EA4B337E32EC1"", ""This dye can be applied to textiles in order to color them. Different types of material will be affected differently by the dye, so the coloring of leather will appear differently to metals."")","Material","20.000000","1","11","89103","0","/Game/UI/Textures/Icons/icon_dying_vial_light_grey_dye.icon_dying_vial_light_grey_dye","None","False","17020","1","17002","1","0","0","0","0","17021","1","14200","1","0","False","True"
17022,"NSLOCTEXT("""", ""DFC9AAB441FE10B3BDC6C6ADC7866397"", ""Dark Grey Dye"")","NSLOCTEXT("""", ""E000902F48B6E8CF2B12FAAD19C991A7"", ""A flask of dark gray dye "")","NSLOCTEXT("""", ""04BAE81A408C35EAC56D1ABB053CE02F"", ""This dye can be applied to textiles in order to color them. Different types of material will be affected differently by the dye, so the coloring of leather will appear differently to metals."")","Material","20.000000","1","57","89103","0","/Game/UI/Textures/Icons/icon_dying_vial_dark_grey_dye.icon_dying_vial_dark_grey_dye","None","False","17020","1","17001","1","0","0","0","0","17022","1","14200","1","0","False","True"
17030,"NSLOCTEXT("""", ""352EF5814C1F92AD0B69BDA1868D4B7F"", ""Cyan Dye"")","NSLOCTEXT("""", ""A6A3902E4E95D1BFC72AF8AEF23B89C9"", ""A flask of cyan dye "")","NSLOCTEXT("""", ""56D62D0244572D6BE5F2E0BC44CCEC31"", ""This dye can be applied to textiles in order to color them. Different types of material will be affected differently by the dye, so the coloring of leather will appear differently to metals."")","Material","20.000000","1","3","89103","0","/Game/UI/Textures/Icons/icon_dying_vial_cyan_dye.icon_dying_vial_cyan_dye","None","False","14201","1","14195","1","0","0","0","0","17030","1","0","0","0","False","True"
17031,"NSLOCTEXT("""", ""8388FB5C424698DFEBF4BD9CEFE80750"", ""Light Cyan Dye"")","NSLOCTEXT("""", ""24C22D8444BBDB7788D6738FF6E69BFB"", ""A flask of light cyan dye "")","NSLOCTEXT("""", ""175EEEE74FAA6070FE4D1E895FF85B9F"", ""This dye can be applied to textiles in order to color them. Different types of material will be affected differently by the dye, so the coloring of leather will appear differently to metals."")","Material","20.000000","1","11","89103","0","/Game/UI/Textures/Icons/icon_dying_vial_light_cyan_dye.icon_dying_vial_light_cyan_dye","None","False","17030","1","17002","1","0","0","0","0","17031","1","14200","1","0","False","True"
